Torneo,Fecha,Categoria,Pregunta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Pregunta_PT,Opcion1_PT,Opcion2_PT,Opcion3_PT,Pregunta_EN,Opcion1_EN,Opcion2_EN,Opcion3_EN,Respuesta_Correcta,Es_Ordenamiento
Mundial_1,4,elementos,¿De qué material ordenó Dios que estuviera hecha la serpiente que Moisés levantó en un asta en el desierto?,Bronce,Oro puro,Hierro forjado,De que material Deus ordenou que fosse feita a serpente que Moisés levantou em uma haste no deserto?,Bronze,Ouro puro,Ferro forjado,Of what material did God command the serpent that Moses lifted up on a pole in the wilderness to be made?,Bronze,Pure gold,Forged iron,1,FALSE
Mundial_1,4,personajes,¿Quién era el sumo sacerdote que encontró el Libro de la Ley perdido en el templo durante las reformas del rey Josías?,Hilcías,Sadoc,Joiada,Quem era o sumo sacerdote que encontrou o Livro da Lei perdido no templo durante as reformas do rei Josias?,Hilquias,Zadoque,Joiada,Who was the high priest that found the lost Book of the Law in the temple during King Josiah's reforms?,Hilkiah,Zadok,Jehoiada,1,FALSE
Mundial_1,4,eventos,¿Qué festividad agrícola y religiosa estaban celebrando los judíos cuando el Espíritu Santo descendió en el aposento alto?,Pentecostés (Fiesta de las Semanas),La Pascua (Panes sin levadura),Los Tabernáculos (Enramadas),Qual festividade agrícola e religiosa os judeus estavam celebrando quando o Espírito Santo desceu no cenáculo?,Pentecostes (Festa das Semanas),A Páscoa (Pães asmos),Os Tabernáculos (Cabanas),What agricultural and religious festival were the Jews celebrating when the Holy Spirit descended in the upper room?,Pentecost (Feast of Weeks),Passover (Unleavened Bread),Tabernacles (Booths),1,FALSE
Mundial_1,4,versiculos,"¿En qué libro de los profetas menores se encuentra la profecía: ""Mas tú, Belén Efrata, pequeña para estar entre las familias de Judá...""?",Miqueas,Isaías,Zacarías,"Em qual livro dos profetas menores encontra-se a profecia: ""E tu, Belém Efrata, posto que pequena entre os milhares de Judá...""?",Miqueias,Isaías,Zacarias,"In which book of the minor prophets is the prophecy found: ""But you, Bethlehem Ephrathah, though you are small among the clans of Judah...""?",Micah,Isaiah,Zechariah,1,FALSE
Mundial_1,4,ciudades,¿En qué ciudad portuaria el rey Herodes Agripa I fue herido por un ángel y comido de gusanos tras aceptar adoración pública?,Cesarea,Jerusalén,Tiberíades,Em qual cidade portuária o rei Herodes Agripa I foi ferido por um anjo e comido de vermes após aceitar adoração pública?,Cesareia,Jerusalém,Tiberíades,In which port city was King Herod Agrippa I struck down by an angel and eaten by worms after accepting public worship?,Caesarea,Jerusalem,Tiberias,1,FALSE
Mundial_1,4,elementos,¿Qué insólito manjar encontró el juez Sansón dentro del esqueleto del león que había despedazado tiempo atrás?,Miel,Agua cristalina,Un racimo de uvas silvestres,Que iguaria insólita o juiz Sansão encontrou dentro do esqueleto do leão que havia despedaçado tempos antes?,Mel,Água cristalina,Um cacho de uvas silvestres,What unusual delicacy did the judge Samson find inside the carcass of the lion he had torn apart some time before?,Honey,Crystal clear water,A cluster of wild grapes,1,FALSE
Mundial_1,4,personajes,¿Qué mujer prudente evitó que David derramara sangre al llevarle provisiones a escondidas de su necio marido Nabal?,Abigail,Mical,Ahinoam,Qual mulher prudente evitou que Davi derramasse sangue ao levar-lhe provisões escondida de seu tolo marido Nabal?,Abigail,Mical,Ainoã,Which wise woman kept David from shedding blood by secretly bringing him provisions behind her foolish husband Nabal's back?,Abigail,Michal,Ahinoam,1,FALSE
Mundial_1,4,eventos,¿A qué rey de Judá le fueron añadidos 15 años más de vida tras llorar amargamente ante la pared por la profecía de su muerte inminente?,Ezequías,Josías,Manasés,A qual rei de Judá foram acrescentados mais 15 anos de vida após chorar amargamente virado para a parede pela profecia de sua morte iminente?,Ezequias,Josias,Manassés,Which king of Judah was granted 15 more years of life after weeping bitterly at the wall over the prophecy of his imminent death?,Hezekiah,Josiah,Manasseh,1,FALSE
Mundial_1,4,versiculos,"¿En qué capítulo del Génesis se encuentra el Protoevangelio, la promesa de que la simiente de la mujer aplastaría la cabeza de la serpiente?",Génesis 3,Génesis 1,Génesis 12,"Em qual capítulo de Gênesis encontra-se o Protoevangelho, a promessa de que a semente da mulher esmagaria a cabeça da serpente?",Gênesis 3,Gênesis 1,Gênesis 12,"In which chapter of Genesis is the Protoevangelium found, the promise that the offspring of the woman would crush the serpent's head?",Genesis 3,Genesis 1,Genesis 12,1,FALSE
Mundial_1,4,ciudades,"¿Cuál era la ciudad de origen del apóstol Felipe, que compartía con los hermanos Andrés y Pedro?",Betsaida,Capernaúm,Nazaret,"Qual era a cidade de origem do apóstolo Filipe, que ele compartilhava com os irmãos André e Pedro?",Betsaida,Cafarnaum,Nazaré,"What was the hometown of the apostle Philip, which he shared with the brothers Andrew and Peter?",Bethsaida,Capernaum,Nazareth,1,FALSE
Mundial_1,4,elementos,¿Con qué herramienta rudimentaria atravesó Jael las sienes del temible comandante cananeo Sísara mientras dormía?,Una estaca de tienda,Una espada de doble filo,Una flecha envenenada,Com qual ferramenta rudimentar Jael atravessou as fontes do temível comandante cananeu Sísera enquanto ele dormia?,Uma estaca de tenda,Uma espada de dois gumes,Uma flecha envenenada,With what rudimentary tool did Jael pierce the temples of the fearsome Canaanite commander Sisera while he slept?,A tent peg,A double-edged sword,A poisoned arrow,1,FALSE
Mundial_1,4,personajes,¿Qué líder copero del rey persa Artajerjes reedificó los muros de Jerusalén en solo 52 días superando la oposición de Sanbalat?,Nehemías,Esdras,Zorobabel,Qual líder e copeiro do rei persa Artaxerxes reedificou os muros de Jerusalém em apenas 52 dias superando a oposição de Sambalate?,Neemias,Esdras,Zorobabel,"Which cupbearer to the Persian King Artaxerxes rebuilt the walls of Jerusalem in just 52 days, overcoming Sanballat's opposition?",Nehemiah,Ezra,Zerubbabel,1,FALSE
Mundial_1,4,eventos,¿Qué milagro específico de Jesús tiene la particularidad de ser el único registrado en los cuatro Evangelios antes de la semana de la pasión?,La alimentación de los cinco mil,Caminar sobre el mar agitado,La resurrección de Lázaro de Betania,Qual milagre específico de Jesus tem a particularidade de ser o único registrado nos quatro Evangelhos antes da semana da paixão?,A multiplicação dos pães e peixes,Andar sobre o mar agitado,A ressurreição de Lázaro de Betânia,Which specific miracle of Jesus holds the distinction of being the only one recorded in all four Gospels prior to Passion Week?,The feeding of the five thousand,Walking on the rough sea,The raising of Lazarus of Bethany,1,FALSE
Mundial_1,4,versiculos,"¿Qué Salmo comienza con las célebres palabras ""Dios es nuestro amparo y fortaleza, nuestro pronto auxilio en las tribulaciones""?",Salmo 46,Salmo 91,Salmo 27,"Qual Salmo começa com as célebres palavras ""Deus é o nosso refúgio e fortaleza, socorro bem presente na angústia""?",Salmo 46,Salmo 91,Salmo 27,"Which Psalm begins with the famous words ""God is our refuge and strength, an ever-present help in trouble""?",Psalm 46,Psalm 91,Psalm 27,1,FALSE
Mundial_1,5,ciudades,"¿A qué ciudad huyó el rey David para escapar del rey Saúl, donde fingió estar loco ante el rey Aquis?",Gat,Ascalón,Ecrón,"Para qual cidade o rei Davi fugiu para escapar do rei Saul, onde fingiu estar louco diante do rei Aquis?",Gate,Ascalom,Ecrom,"To which city did King David flee to escape King Saul, where he feigned madness before King Achish?",Gath,Ashkelon,Ekron,1,FALSE
Mundial_1,5,personajes,"¿Cómo se llamaba el abuelo del rey Saúl, padre de Cis?",Abiel,Ner,Afía,"Como se chamava o avô do rei Saul, pai de Quis?",Abiel,Ner,Afias,"What was the name of King Saul's grandfather, the father of Kish?",Abiel,Ner,Aphiah,1,FALSE
Mundial_1,5,elementos,¿Cuántos siclos de plata pesaba el cabello de Absalón cuando se lo cortaba al final de cada año?,Doscientos siclos,Cien siclos,Trescientos siclos,Quantos siclos de prata pesava o cabelo de Absalão quando ele o cortava no final de cada ano?,Duzentos siclos,Cem siclos,Trezentos siclos,How many shekels of silver did Absalom's hair weigh when he cut it at the end of every year?,Two hundred shekels,One hundred shekels,Three hundred shekels,1,FALSE
Mundial_1,5,eventos,"¿Qué rey asirio deportó a los israelitas a Halah, a las orillas del río Habor y a las ciudades de los medos?",Salmanasar,Senaquerib,Tiglat-pileser,"Qual rei assírio deportou os israelitas para Hala, às margens do rio Habor e para as cidades dos medos?",Salmaneser,Senaqueribe,Tiglate-Pileser,"Which Assyrian king deported the Israelites to Halah, along the Habor River, and to the towns of the Medes?",Shalmaneser,Sennacherib,Tiglath-Pileser,1,FALSE
Mundial_1,5,versiculos,"¿Qué profeta escribió sobre el ""valle de la decisión"" donde las multitudes se congregan para el juicio?",Joel,Sofonías,Amós,"Qual profeta escreveu sobre o ""vale da decisão"" onde as multidões se reúnem para o juízo?",Joel,Sofonias,Amós,"Which prophet wrote about the ""valley of decision"" where multitudes gather for judgment?",Joel,Zephaniah,Amos,1,FALSE
Mundial_1,5,ciudades,"¿En qué ciudad construyó Jeroboam uno de sus dos becerros de oro, ubicada en el extremo norte de Israel?",Dan,Betel,Siquem,"Em qual cidade Jeroboão construiu um de seus dois bezerros de ouro, localizada no extremo norte de Israel?",Dã,Betel,Siquém,"In which city did Jeroboam set up one of his two golden calves, located in the far north of Israel?",Dan,Bethel,Shechem,1,FALSE
Mundial_1,5,personajes,"¿Quién era el padre de los jebuseos, de quien descendían los habitantes de Jerusalén antes de David?",Canaán,Mizraim,Cus,"Quem era o pai dos jebuseus, de quem descendiam os habitantes de Jerusalém antes de Davi?",Canaã,Mizraim,Cuxe,"Who was the father of the Jebusites, from whom the inhabitants of Jerusalem before David descended?",Canaan,Mizraim,Cush,1,FALSE
Mundial_1,5,elementos,¿Qué madera usó Salomón para tallar los dos enormes querubines dentro del lugar santísimo?,Madera de olivo,Madera de cedro,Madera de ciprés,Que madeira Salomão usou para esculpir os dois enormes querubins dentro do Santo dos Santos?,Madeira de oliveira,Madeira de cedro,Madeira de cipreste,What wood did Solomon use to carve the two massive cherubim inside the Most Holy Place?,Olive wood,Cedar wood,Cypress wood,1,FALSE
Mundial_1,5,eventos,"¿Cuántos hombres zurdos de Benjamín, que no fallaban una pedrada, formaban la élite de su ejército?",Setecientos,Trescientos,Mil doscientos,"Quantos homens canhotos de Benjamim, que não erravam uma pedrada, formavam a elite do seu exército?",Setecentos,Trezentos,Mil e duzentos,"How many left-handed men from Benjamin, who could sling a stone at a hair and not miss, formed their elite army?",Seven hundred,Three hundred,Twelve hundred,1,FALSE
Mundial_1,5,versiculos,¿Qué libro profético del Antiguo Testamento tiene solo 21 versículos?,Abdías,Hageo,Nahúm,Qual livro profético do Antigo Testamento tem apenas 21 versículos?,Obadias,Ageu,Naum,Which prophetic book of the Old Testament has only 21 verses?,Obadiah,Haggai,Nahum,1,FALSE
Mundial_1,5,ciudades,¿De qué ciudad era originario el profeta Elías?,Tisbe,Ramá,Galaad,De qual cidade era originário o profeta Elias?,Tisbe,Ramá,Gileade,From which town did the prophet Elijah originate?,Tishbe,Ramah,Gilead,1,FALSE
Mundial_1,5,personajes,¿Qué hija de Lea y Jacob fue deshonrada por Siquem?,Dina,Milca,Isca,Qual filha de Lia e Jacó foi desonrada por Siquém?,Diná,Milca,Isca,Which daughter of Leah and Jacob was defiled by Shechem?,Dinah,Milcah,Iscah,1,FALSE
Mundial_1,5,elementos,¿Qué perfume purísimo derramó María de Betania sobre los pies de Jesús?,Nardo puro,Mirra líquida,Incienso blanco,Que perfume puríssimo Maria de Betânia derramou sobre os pés de Jesus?,Nardo puro,Mirra líquida,Incenso branco,What pure perfume did Mary of Bethany pour on Jesus' feet?,Pure nard,Liquid myrrh,White frankincense,1,FALSE
Mundial_1,5,eventos,¿A cuántos sátrapas colocó el rey Darío sobre todo su reino babilónico?,Ciento veinte,Ciento cincuenta,Setenta,A quantos sátrapas o rei Dario colocou sobre todo o seu reino babilônico?,Cento e vinte,Cento e cinquenta,Setenta,How many satraps did King Darius appoint over his entire Babylonian kingdom?,One hundred and twenty,One hundred and fifty,Seventy,1,FALSE
Mundial_1,5,versiculos,¿Qué apóstol cita a Enoc al referirse al juicio de los impíos en su carta?,Judas,Pedro,Pablo,Qual apóstolo cita Enoque ao se referir ao julgamento dos ímpios em sua carta?,Judas,Pedro,Paulo,Which apostle quotes Enoch when referring to the judgment of the ungodly in his letter?,Jude,Peter,Paul,1,FALSE
Mundial_1,5,ciudades,"¿En qué ciudad Abimelec, hijo de Gedeón, murió tras caerle una piedra de molino en la cabeza?",Tebes,Siquem,Peniel,"Em qual cidade Abimeleque, filho de Gideão, morreu após uma pedra de moinho cair em sua cabeça?",Tebes,Siquém,Peniel,"In which city did Abimelech, son of Gideon, die after a millstone was dropped on his head?",Thebez,Shechem,Peniel,1,FALSE
Mundial_1,5,personajes,"¿Quién era la nodriza de Rebeca, enterrada debajo de una encina en Betel?",Débora,Keturah,Milca,"Quem era a ama de Rebeca, enterrada debaixo de um carvalho em Betel?",Débora,Quetura,Milca,"Who was Rebekah's nurse, buried under an oak tree below Bethel?",Deborah,Keturah,Milcah,1,FALSE
Mundial_1,5,elementos,"¿Cuántos carros de hierro tenía Sísara, el comandante del rey Jabín?",Novecientos,Seiscientos,Mil,"Quantos carros de ferro tinha Sísera, o comandante do rei Jabim?",Novecentos,Seiscentos,Mil,"How many iron chariots did Sisera, the commander of King Jabin, possess?",Nine hundred,Six hundred,One thousand,1,FALSE
Mundial_1,5,eventos,¿Quién encontró aguas termales en el desierto mientras apacentaba los asnos de su padre Zibeón?,Ana,Esaú,Elifaz,Quem encontrou fontes termais no deserto enquanto pastoreava os jumentos de seu pai Zibeão?,Aná,Esaú,Elifaz,Who found hot springs in the wilderness while pasturing the donkeys of his father Zibeon?,Anah,Esau,Eliphaz,1,FALSE
Mundial_1,5,versiculos,"Según Proverbios 30, ¿qué animal construye su casa en la roca a pesar de ser débil?",El tejón (damán),La hormiga,La langosta,"Segundo Provérbios 30, que animal constrói sua casa na rocha, apesar de ser fraco?",O arganaz,A formiga,O gafanhoto,"According to Proverbs 30, which animal makes its home in the crags despite being weak?",The coney (hyrax),The ant,The locust,1,FALSE
Mundial_1,5,ciudades,"¿Qué región cedió Salomón al rey Hiram, que no le agradó y la llamó ""Tierra de Cabul""?",Veinte ciudades en Galilea,Megido y Hazor,Gazer y Bet-horón,"Qual região Salomão cedeu ao rei Hirão, que não o agradou e a chamou de ""Terra de Cabul""?",Vinte cidades na Galileia,Megido e Hazor,Gezer e Bete-Horom,"What region did Solomon give to King Hiram, which he disliked and called the ""Land of Cabul""?",Twenty towns in Galilee,Megiddo and Hazor,Gezer and Beth Horon,1,FALSE
Mundial_1,5,personajes,¿Quién era el rey de Basán cuya cama de hierro medía más de cuatro metros?,Og,Sihón,Goliat,Quem era o rei de Basã cuja cama de ferro media mais de quatro metros?,Ogue,Seom,Golias,Who was the king of Bashan whose iron bed was over thirteen feet long?,Og,Sihon,Goliath,1,FALSE
Mundial_1,5,elementos,¿Qué nombre despectivo le dio el rey Ezequías a la serpiente de bronce de Moisés al destruirla?,Nehustán,Leviatán,Terapín,Que nome pejorativo o rei Ezequias deu à serpente de bronze de Moisés ao destruí-la?,Neustã,Leviatã,Terafim,What derogatory name did King Hezekiah give to Moses' bronze serpent when he destroyed it?,Nehushtan,Leviathan,Teraphim,1,FALSE
Mundial_1,5,eventos,¿Cuántas cabezas de los hijos de Acab fueron enviadas a Jehú en Jezreel en canastas?,Setenta,Cincuenta,Cuarenta y dos,Quantas cabeças dos filhos de Acabe foram enviadas a Jeú em Jezreel em cestos?,Setenta,Cinquenta,Quarenta e dois,How many heads of Ahab's sons were sent to Jehu in Jezreel in baskets?,Seventy,Fifty,Forty-two,1,FALSE
Mundial_1,5,versiculos,¿En qué capítulo de Levítico se detalla por completo el Día de la Expiación (Yom Kipur)?,Levítico 16,Levítico 23,Levítico 11,Em qual capítulo de Levítico é detalhado completamente o Dia da Expiação (Yom Kippur)?,Levítico 16,Levítico 23,Levítico 11,In which chapter of Leviticus is the Day of Atonement (Yom Kippur) completely detailed?,Leviticus 16,Leviticus 23,Leviticus 11,1,FALSE
Mundial_1,6,ciudades,"¿Dónde fue ungido David como rey sobre todo Israel, tras la muerte de Is-boset?",Hebrón,Jerusalén,Belén,"Onde Davi foi ungido como rei sobre todo o Israel, após a morte de Is-Bosete?",Hebrom,Jerusalém,Belém,"Where was David anointed king over all Israel, after the death of Ish-bosheth?",Hebron,Jerusalem,Bethlehem,1,FALSE
Mundial_1,6,personajes,¿Quién fue el eunuco de la reina Ester encargado de averiguar qué le sucedía a Mardoqueo?,Hatac,Hegai,Bigitán,Quem foi o eunuco da rainha Ester encarregado de descobrir o que estava acontecendo com Mardoqueu?,Hataque,Hegai,Bigtã,Who was Queen Esther's eunuch tasked with finding out what was troubling Mordecai?,Hathak,Hegai,Bigthan,1,FALSE
Mundial_1,6,elementos,¿Cuántos talentos de oro anuales recibía el rey Salomón como ingresos estándar?,Seiscientos sesenta y seis,Quinientos,Mil,Quantos talentos de ouro anuais o rei Salomão recebia como receita padrão?,Seiscentos e sessenta e seis,Quinhentos,Mil,How many talents of gold did King Solomon receive annually as standard revenue?,Six hundred and sixty-six,Five hundred,One thousand,1,FALSE
Mundial_1,6,eventos,¿En qué mes se enteró Nehemías de la ruina de los muros de Jerusalén?,Mes de Quisleu,Mes de Nisán,Mes de Abib,Em qual mês Neemias soube da ruína dos muros de Jerusalém?,Mês de Quislev,Mês de Nisã,Mês de Abibe,In which month did Nehemiah hear of the ruin of Jerusalem's walls?,Month of Kislev,Month of Nisan,Month of Abib,1,FALSE
Mundial_1,6,eventos,¿Cuántos años tenía Josías cuando comenzó a reinar sobre Judá?,Ocho años,Doce años,Siete años,Quantos anos tinha Josias quando começou a reinar sobre Judá?,Oito anos,Doze anos,Sete anos,How old was Josiah when he began to reign over Judah?,Eight years old,Twelve years old,Seven years old,1,FALSE
Mundial_1,6,versiculos,"¿Qué epístola paulina ruega por el esclavo Onésimo, pidiendo que sea recibido como hermano?",Filemón,Tito,Colosenses,"Qual epístola paulina roga pelo escravo Onésimo, pedindo que seja recebido como irmão?",Filemom,Tito,Colossenses,"Which Pauline epistle pleads for the slave Onesimus, asking him to be received as a brother?",Philemon,Titus,Colossians,1,FALSE
Mundial_1,6,ciudades,¿A qué ciudad fue Pablo enviado como prisionero en un barco desde Cesarea para apelar al César?,Roma,Atenas,Alejandría,Para qual cidade Paulo foi enviado como prisioneiro em um navio de Cesareia para apelar a César?,Roma,Atenas,Alexandria,To which city was Paul sent as a prisoner on a ship from Caesarea to appeal to Caesar?,Rome,Athens,Alexandria,1,FALSE
Mundial_1,6,personajes,¿Qué sacerdote rebelde fue tragado por la tierra junto con Datán y Abiram en el desierto?,Coré,Nadab,Finees,Qual sacerdote rebelde foi engolido pela terra junto com Datã e Abirão no deserto?,Corá,Nadabe,Fineias,Which rebellious priest was swallowed by the earth along with Dathan and Abiram in the wilderness?,Korah,Nadab,Phinehas,1,FALSE
Mundial_1,6,elementos,¿Qué piedra preciosa representaba a la tribu de Judá en la primera hilera del pectoral del sumo sacerdote?,Sardio (Cornalina),Zafiro,Esmeralda,Qual pedra preciosa representava a tribo de Judá na primeira fileira do peitoral do sumo sacerdote?,Sárdio (Cornalina),Safira,Esmeralda,Which precious stone represented the tribe of Judah in the first row of the high priest's breastpiece?,Sardius (Carnelian),Sapphire,Emerald,1,FALSE
Mundial_1,6,eventos,¿Qué rey babilonio se volvió loco y vivió como una bestia salvaje durante siete tiempos?,Nabucodonosor,Belsasar,Amel-Marduk,Qual rei babilônico enlouqueceu e viveu como uma fera selvagem durante sete tempos?,Nabucodonosor,Belsazar,Amel-Marduque,Which Babylonian king went mad and lived like a wild beast for seven periods of time?,Nebuchadnezzar,Belshazzar,Amel-Marduk,1,FALSE
Mundial_1,6,eventos,¿Por cuántos años Dios alimentó a los israelitas con maná en el desierto?,Cuarenta años,Cincuenta años,Treinta años,Por quantos anos Deus alimentou os israelitas com maná no deserto?,Quarenta anos,Cinquenta anos,Trinta anos,For how many years did God feed the Israelites with manna in the wilderness?,Forty years,Fifty years,Thirty years,1,FALSE
Mundial_1,6,versiculos,"En Apocalipsis, ¿quién es llamado el ""Alfa y la Omega, el principio y el fin""?",El Señor Dios,El Arcángel Miguel,Los veinticuatro ancianos,"Em Apocalipse, quem é chamado de ""o Alfa e o Ômega, o princípio e o fim""?",O Senhor Deus,O Arcanjo Miguel,Os vinte e quatro anciãos,"In Revelation, who is called the ""Alpha and the Omega, the beginning and the end""?",The Lord God,The Archangel Michael,The twenty-four elders,1,FALSE
Mundial_1,6,ciudades,"¿Dónde murió el sumo sacerdote Aarón, cediendo su cargo a su hijo Eleazar?",Monte Hor,Monte Sinaí,Monte Nebo,"Onde morreu o sumo sacerdote Arão, cedendo seu cargo a seu filho Eleazar?",Monte Hor,Monte Sinai,Monte Nebo,"Where did the high priest Aaron die, transferring his office to his son Eleazar?",Mount Hor,Mount Sinai,Mount Nebo,1,FALSE
Mundial_1,6,personajes,¿Qué rey de Moab contrató a Balaam para maldecir al pueblo de Israel?,Balac,Eglón,Mesha,Qual rei de Moabe contratou Balaão para amaldiçoar o povo de Israel?,Balaque,Eglom,Mesa,Which king of Moab hired Balaam to curse the people of Israel?,Balak,Eglon,Mesha,1,FALSE
Mundial_1,6,elementos,¿Qué arma usaba el gigante Goliat cuya punta de hierro pesaba seiscientos siclos?,Una lanza,Una espada,Un hacha de guerra,Qual arma o gigante Golias usava cuja ponta de ferro pesava seiscentos siclos?,Uma lança,Uma espada,Um machado de guerra,What weapon did the giant Goliath use whose iron point weighed six hundred shekels?,A spear,A sword,A battle axe,1,FALSE
Mundial_1,6,eventos,¿Cuántos días estuvo Jonás en el vientre del gran pez?,Tres días y tres noches,Cuarenta días,Siete días,Quantos dias Jonas esteve no ventre do grande peixe?,Três dias e três noites,Quarenta dias,Sete dias,How many days was Jonah in the belly of the huge fish?,Three days and three nights,Forty days,Seven days,1,FALSE
Mundial_1,6,eventos,¿Cuántas veces caminaron los israelitas alrededor de Jericó el séptimo día?,Siete veces,Una vez,Doce veces,Quantas vezes os israelitas marcharam ao redor de Jericó no sétimo dia?,Sete vezes,Uma vez,Doze vezes,How many times did the Israelites march around Jericho on the seventh day?,Seven times,Once,Twelve times,1,FALSE
Mundial_1,6,versiculos,"¿Qué salmo es conocido como la oración de Moisés, donde dice que mil años son como un día?",Salmo 90,Salmo 23,Salmo 119,"Qual salmo é conhecido como a oração de Moisés, onde diz que mil anos são como um dia?",Salmo 90,Salmo 23,Salmo 119,"Which psalm is known as the prayer of Moses, stating that a thousand years are like a day?",Psalm 90,Psalm 23,Psalm 119,1,FALSE
Mundial_1,6,ciudades,¿En qué ciudad se le apareció un ángel a Gedeón mientras sacudía el trigo en un lagar?,Ofra,Gabaón,Silo,Em qual cidade um anjo apareceu a Gideão enquanto ele malhava o trigo num lagar?,Ofra,Gibeom,Siló,In which town did an angel appear to Gideon while he was threshing wheat in a winepress?,Ophrah,Gibeon,Shiloh,1,FALSE
Mundial_1,6,personajes,¿Quién era la madre del rey Salomón?,Betsabé,Abigail,Mical,Quem era a mãe do rei Salomão?,Bate-Seba,Abigail,Mical,Who was the mother of King Solomon?,Bathsheba,Abigail,Michal,1,FALSE
Mundial_1,6,elementos,"¿Qué se encontraba dentro del Arca de la Alianza además de las tablas de la ley, descritas en Hebreos?",Una vasija con maná y la vara de Aarón,El efod de oro de Gedeón,Las piedras de Urim y Tumim,"O que havia dentro da Arca da Aliança além das tábuas da lei, descritas em Hebreus?",Um vaso com maná e a vara de Arão,O éfode de ouro de Gideão,As pedras de Urim e Tumim,"What was inside the Ark of the Covenant besides the tablets of the law, described in Hebrews?",A jar of manna and Aaron's staff,Gideon's golden ephod,The Urim and Thummim stones,1,FALSE
Mundial_1,6,eventos,"¿Qué enfermedad contrajo María, la hermana de Moisés, por criticarlo por su esposa cusita?",Lepra,Ceguera,Parálisis,"Qual doença Miriã, irmã de Moisés, contraiu por criticá-lo por causa de sua esposa cuxita?",Lepra,Cegueira,Paralisia,"What disease did Miriam, Moses' sister, contract for criticizing him about his Cushite wife?",Leprosy,Blindness,Paralysis,1,FALSE
Mundial_1,6,versiculos,"Según 1 Juan, ¿cuál es el mandamiento antiguo que hemos tenido desde el principio?",Que nos amemos unos a otros,Que guardemos el sábado,Que ofrezcamos sacrificios,"Segundo 1 João, qual é o mandamento antigo que tivemos desde o princípio?",Que nos amemos uns aos outros,Que guardemos o sábado,Que ofereçamos sacrifícios,"According to 1 John, what is the old commandment we have had from the beginning?",That we love one another,That we keep the Sabbath,That we offer sacrifices,1,FALSE
Mundial_1,6,ciudades,"¿A qué isla fue desterrado el apóstol Juan, donde recibió las visiones del Apocalipsis?",Patmos,Creta,Chipre,"Para qual ilha o apóstolo João foi exilado, onde recebeu as visões do Apocalipse?",Patmos,Creta,Chipre,"To which island was the apostle John exiled, where he received the visions of Revelation?",Patmos,Crete,Cyprus,1,FALSE
Mundial_1,6,elementos,¿Qué parte de la vestidura de Jesús tocó la mujer del flujo de sangre para ser sanada?,El borde (o fleco) del manto,Las sandalias,El cinturón,Em qual parte da vestimenta de Jesus a mulher com fluxo de sangue tocou para ser curada?,A orla (ou franja) do manto,As sandálias,O cinto,Which part of Jesus' garment did the bleeding woman touch to be healed?,The edge (or fringe) of his cloak,The sandals,The belt,1,FALSE
Mundial_2,1,personajes,¿Cuál fue el único rey del reino del norte (Israel) ungido por un profeta enviado por Eliseo?,Jehú,Jeroboam II,Menahem,Qual foi o único rei do reino do norte (Israel) ungido por um profeta enviado por Eliseu?,Jeú,Jeroboão II,Menaém,Who was the only king of the northern kingdom (Israel) anointed by a prophet sent by Elisha?,Jehu,Jeroboam II,Menahem,1,FALSE
Mundial_2,1,ciudades,¿En qué lugar acampó el pueblo de Israel inmediatamente antes de cruzar el río Jordán bajo el mando de Josué?,Sitim,Gilgal,Cades-barnea,Em qual lugar o povo de Israel acampou imediatamente antes de atravessar o rio Jordão?,Sitim,Gilgal,Cades-Barneia,Where did the people of Israel camp immediately before crossing the Jordan River under Joshua?,Shittim,Gilgal,Kadesh-barnea,1,FALSE
Mundial_2,1,personajes,¿A quiénes menciona Pablo en 1 Corintios como las únicas personas que él bautizó personalmente en Corinto?,"Crispo, Gayo y la familia de Estéfanas","Apolo, Priscila y Aquila","Timoteo, Silas y Febe",Quem Paulo menciona em 1 Coríntios como as únicas pessoas que ele batizou pessoalmente em Corinto?,"Crispo, Gaio e a família de Estéfanas","Apolo, Priscila e Áquila","Timóteo, Silas e Febe",Who does Paul mention in 1 Corinthians as the only people he personally baptized in Corinth?,"Crispus, Gaius, and the household of Stephanas","Apollos, Priscilla, and Aquila","Timothy, Silas, and Phoebe",1,FALSE
Mundial_2,1,elementos,"Según Levítico 11, ¿qué animal estaba prohibido comer por rumiar pero no tener la pezuña hendida?",El camello,El cerdo,El jabalí,"Segundo Levítico 11, qual animal era proibido comer por ruminar mas não ter a unha dividida?",O camelo,O porco,O javali,"According to Leviticus 11, which animal was forbidden to eat because it chews the cud but does not have a divided hoof?",The camel,The pig,The wild boar,1,FALSE
Mundial_2,1,personajes,¿Qué rey de Judá fue liberado de la prisión en Babilonia por el rey Evil-merodac?,Joaquín (Joconías),Sedequías,Manasés,Qual rei de Judá foi libertado da prisão na Babilônia pelo rei Evil-Merodaque?,Joaquim (Jeconias),Zedequias,Manassés,Which king of Judah was released from prison in Babylon by King Evil-merodach?,Jehoiachin (Jeconiah),Zedekiah,Manasseh,1,FALSE
Mundial_2,1,ciudades,"¿En qué ciudad tuvo lugar la resurrección del hijo de una viuda, registrada únicamente en el Evangelio de Lucas?",Naín,Betania,Corazín,"Em qual cidade ocorreu a ressurreição do filho de uma viúva, relatada apenas no Evangelho de Lucas?",Naim,Betânia,Corazim,"In which town did the resurrection of a widow's son take place, recorded only in the Gospel of Luke?",Nain,Bethany,Chorazin,1,FALSE
